gene_id,gene_name
ENSG00000237491,LINC01409
ENSG00000187961,KLHL17
ENSG00000188290,HES4
ENSG00000187608,ISG15
ENSG00000078808,SDF4
ENSG00000131584,ACAP3
ENSG00000127054,INTS11
ENSG00000162576,MXRA8
ENSG00000221978,CCNL2
ENSG00000242485,MRPL20
ENSG00000160072,ATAD3B
ENSG00000197785,ATAD3A
ENSG00000160075,SSU72
ENSG00000228594,FNDC10
ENSG00000197530,MIB2
ENSG00000248333,CDK11B
ENSG00000189339,SLC35E2B
ENSG00000008128,CDK11A
ENSG00000157933,SKI
ENSG00000235169,SMIM1
ENSG00000130764,LRRC47
ENSG00000116198,CEP104
ENSG00000162408,NOL9
ENSG00000204859,ZBTB48
ENSG00000162413,KLHL21
ENSG00000116273,PHF13
ENSG00000041988,THAP3
ENSG00000049245,VAMP3
ENSG00000142599,RERE
ENSG00000074800,ENO1
ENSG00000171603,CLSTN1
ENSG00000173614,NMNAT1
ENSG00000130939,UBE4B
ENSG00000054523,KIF1B
ENSG00000142657,PGD
ENSG00000160049,DFFA
ENSG00000120948,TARDBP
ENSG00000116649,SRM
ENSG00000171824,EXOSC10
ENSG00000198793,MTOR
ENSG00000116670,MAD2L2
ENSG00000177674,AGTRAP
ENSG00000177000,MTHFR
ENSG00000011021,CLCN6
ENSG00000083444,PLOD1
ENSG00000116688,MFN2
ENSG00000116691,MIIP
ENSG00000048707,VPS13D
ENSG00000162496,DHRS3
ENSG00000116731,PRDM2
ENSG00000142634,EFHD2
ENSG00000116138,DNAJC16
ENSG00000197312,DDI2
ENSG00000116786,PLEKHM2
ENSG00000233954,UQCRHL
ENSG00000179743,AL450998.2
ENSG00000065526,SPEN
ENSG00000116809,ZBTB17
ENSG00000037637,FBXO42
ENSG00000157191,NECAP2
ENSG00000219481,NBPF1
ENSG00000127481,UBR4
ENSG00000077549,CAPZB
ENSG00000173436,MICOS10
ENSG00000169914,OTUD3
ENSG00000162545,CAMK2N1
ENSG00000244038,DDOST
ENSG00000127483,HP1BP3
ENSG00000075151,EIF4G3
ENSG00000090686,USP48
ENSG00000142798,HSPG2
ENSG00000070831,CDC42
ENSG00000184677,ZBTB40
ENSG00000004487,KDM1A
ENSG00000169641,LUZP1
ENSG00000007968,E2F2
ENSG00000142676,RPL11
ENSG00000011007,ELOA
ENSG00000011009,LYPLA2
ENSG00000117305,HMGCL
ENSG00000179163,FUCA1
ENSG00000189266,PNRC2
ENSG00000188529,SRSF10
ENSG00000001461,NIPAL3
ENSG00000133226,SRRM1
ENSG00000169504,CLIC4
ENSG00000117614,SYF2
ENSG00000117616,RSRP1
ENSG00000204178,MACO1
ENSG00000157978,LDLRAP1
ENSG00000117640,MTFR1L
ENSG00000117632,STMN1
ENSG00000175087,PDIK1L
ENSG00000142669,SH3BGRL3
ENSG00000117682,DHDDS
ENSG00000198830,HMGN2
ENSG00000117676,RPS6KA1
ENSG00000117713,ARID1A
ENSG00000142751,GPN2
ENSG00000198746,GPATCH3
ENSG00000090273,NUDC
ENSG00000142784,WDTC1
ENSG00000186501,TMEM222
ENSG00000158195,WASF2
ENSG00000126705,AHDC1
ENSG00000009780,FAM76A
ENSG00000117758,STX12
ENSG00000117751,PPP1R8
ENSG00000117748,RPA2
ENSG00000158161,EYA3
ENSG00000126698,DNAJC8
ENSG00000130770,ATP5IF1
ENSG00000130766,SESN2
ENSG00000180198,RCC1
ENSG00000242125,SNHG3
ENSG00000180098,TRNAU1AP
ENSG00000197989,SNHG12
ENSG00000120656,TAF12
ENSG00000162419,GMEB1
ENSG00000198492,YTHDF2
ENSG00000159023,EPB41
ENSG00000116350,SRSF4
ENSG00000162511,LAPTM5
ENSG00000134644,PUM1
ENSG00000060688,SNRNP40
ENSG00000025800,KPNA6
ENSG00000084652,TXLNA
ENSG00000160050,CCDC28B
ENSG00000084623,EIF3I
ENSG00000116478,HDAC1
ENSG00000175130,MARCKSL1
ENSG00000160058,BSDC1
ENSG00000160062,ZBTB8A
ENSG00000176261,ZBTB8OS
ENSG00000162521,RBBP4
ENSG00000162520,SYNC
ENSG00000162522,KIAA1522
ENSG00000134684,YARS
ENSG00000121900,TMEM54
ENSG00000116514,RNF19B
ENSG00000134686,PHC2
ENSG00000243749,TMEM35B
ENSG00000163867,ZMYM6
ENSG00000197056,ZMYM1
ENSG00000116560,SFPQ
ENSG00000146463,ZMYM4
ENSG00000142687,KIAA0319L
ENSG00000020129,NCDN
