,feature_name
0,LINC01409
1,NOC2L
2,PERM1
3,ENSG00000272512.1
4,HES4
5,ISG15
6,AGRN
7,RNF223
8,C1orf159
9,TNFRSF18
10,TNFRSF4
11,SDF4
12,B3GALT6
13,UBE2J2
14,ACAP3
15,PUSL1
16,INTS11
17,CPTP
18,DVL1
19,MXRA8
20,AURKAIP1
21,CCNL2
22,MRPL20
23,VWA1
24,ATAD3A
25,SSU72
26,ENSG00000215014.5
27,FNDC10
28,ENSG00000272106.1
29,MIB2
30,MMP23B
31,CDK11B
32,SLC35E2B
33,CDK11A
34,SLC35E2A
35,NADK
36,GNB1
37,GABRD
38,PRKCZ
39,FAAP20
40,SKI
41,RER1
42,PEX10
43,PANK4
44,HES5
45,ENSG00000272449.3
46,TNFRSF14-AS1
47,TNFRSF14
48,PRXL2B
49,MMEL1
50,PRDM16
51,ENSG00000272235.1
52,ARHGEF16
53,MEGF6
54,TPRG1L
55,WRAP73
56,SMIM1
57,LRRC47
58,CEP104
59,DFFB
60,C1orf174
61,NPHP4
62,KCNAB2
63,RPL22
64,ICMT
65,ACOT7
66,TNFRSF25
67,PLEKHG5
68,NOL9
69,ZBTB48
70,KLHL21
71,PHF13
72,THAP3
73,DNAJC11
74,CAMTA1
75,VAMP3
76,PER3
77,PARK7
78,ERRFI1
79,RERE
80,ENO1
81,GPR157
82,MIR34AHG
83,H6PD
84,SPSB1
85,SLC25A33
86,PIK3CD
87,CLSTN1
88,CTNNBIP1
89,LZIC
90,NMNAT1
91,RBP7
92,UBE4B
93,KIF1B
94,PGD
95,CENPS
96,DFFA
97,PEX14
98,CASZ1
99,TARDBP
100,SRM
101,EXOSC10
102,MTOR
103,UBIAD1
104,FBXO2
105,FBXO44
106,FBXO6
107,MAD2L2
108,AGTRAP
109,C1orf167
110,MTHFR
111,CLCN6
112,KIAA2013
113,PLOD1
114,MFN2
115,MIIP
116,TNFRSF1B
117,VPS13D
118,DHRS3
119,PDPN
120,PRDM2
121,KAZN
122,TMEM51
123,FHAD1
124,EFHD2
125,CASP9
126,DNAJC16
127,DDI2
128,PLEKHM2
129,SLC25A34
130,FBLIM1
131,SPEN-AS1
132,SPEN
133,ZBTB17
134,SRARP
135,HSPB7
136,EPHA2
137,CPLANE2
138,FBXO42
139,SZRD1
140,NECAP2
141,NBPF1
142,CROCC
143,ENSG00000238142.4
144,MFAP2
145,ATP13A2
146,SDHB
147,PADI2
148,PADI4
149,RCC2
150,ARHGEF10L
151,IGSF21
152,ALDH4A1
153,IFFO2
154,UBR4
155,EMC1
156,MRTO4
157,AKR7A3
158,AKR7A2
159,SLC66A1
160,CAPZB
161,MICOS10
162,NBL1
163,TMCO4
164,OTUD3
165,PLA2G5
166,CAMK2N1
167,MUL1
168,CDA
169,PINK1
170,PINK1-AS
171,DDOST
172,KIF17
173,HP1BP3
174,EIF4G3
175,ECE1
176,NBPF3
177,ALPL
178,USP48
179,HSPG2
180,CDC42
181,WNT4
182,ZBTB40
183,C1QA
184,C1QC
185,C1QB
186,EPHB2
187,KDM1A
188,LUZP1
189,HNRNPR
190,ZNF436
191,TCEA3
192,ASAP3
193,ID3
194,RPL11
195,ELOA
